date,martin17_EP,M1_rn,M2_rn,M3_rn,M4_rn,cluster
2024-05-24,0.03648695904609642,0.0031476516397486165,0.03648695904609642,0.537007958931969,5.078198863922682,0
2024-05-25,0.03402337846737933,0.002565636848392519,0.03402337846737933,0.687435965023297,5.09702661722255,1
2024-05-26,0.0359801721704035,0.00229036073361083,0.0359801721704035,0.7504850346649178,4.876643765689294,1
2024-05-28,0.03419577297368194,0.002821437395679277,0.03419577297368194,0.6388532933485356,5.126224505241186,1
2024-05-30,0.03370110197996974,0.002052369555885697,0.03370110197996974,0.5096479518433015,4.763441199048074,0
2024-06-01,0.035376824264347656,0.001024245737196533,0.035376824264347656,0.7299134431134785,4.952926671252234,1
2024-06-03,0.03514887940486092,0.001730307772561307,0.03514887940486092,0.6499465080315757,5.161069652236096,1
2024-06-04,0.032720394859398885,0.0021185349836579936,0.032720394859398885,0.617613574534412,5.047018831891217,1
2024-06-16,0.032118344765200355,0.004890911019196115,0.032118344765200355,0.6935217528620247,4.782113319832282,1
2024-06-24,0.03191282596647896,0.0029735511588118574,0.03191282596647896,0.8672710798401413,5.158531925623959,1
2024-07-05,0.03588241846692346,-0.004923725123096717,0.03588241846692346,0.1725287260321918,5.3702405021275466,0
2024-07-06,0.032670485320681786,-0.00228401409709518,0.032670485320681786,0.3635390035100385,5.346185550622257,1
2024-07-07,0.03286077503260382,-0.0012994352150315358,0.03286077503260382,0.3531791288788882,5.4255494033694065,1
2024-07-08,0.03589424218624404,-0.00396913989365788,0.03589424218624404,0.3039158431143208,5.210600184980324,0
2024-07-09,0.03515480107064907,-0.0029502862976607813,0.03515480107064907,0.3078964868877312,5.599655806779988,0
2024-07-11,0.03243999940922745,-0.00018697533979702974,0.03243999940922745,0.10468179855522028,6.092002616858536,1
2024-07-15,0.03218643659927511,-0.0024324766683107846,0.03218643659927511,0.20378173643644618,5.903843364709951,1
2024-07-18,0.03367726345195715,0.004581015324279181,0.03367726345195715,0.444829537238873,5.080833906478083,1
2024-07-19,0.03221303653364023,-0.003339482446903713,0.03221303653364023,0.6237960828726468,4.898982330169954,1
2024-07-21,0.037325609073011315,0.0033566850483375127,0.037325609073011315,0.6616527756011067,4.89388281501141,0
2024-07-22,0.03845912728836515,0.0027106241752969107,0.03845912728836515,0.627784991000343,4.988123055169567,0
2024-07-23,0.036681635738057355,0.0031989127610413948,0.036681635738057355,0.6686905738050991,5.0002213367336354,0
2024-07-25,0.03429333069608762,0.003570022532432035,0.03429333069608762,0.2661119791406164,4.773694599734075,0
2024-08-04,0.03300477834645192,-0.002340911298941026,0.03300477834645192,0.3349994274973048,4.669905609194541,0
2024-08-05,0.04384989147650241,-0.011782628541442366,0.04384989147650241,0.12683287012792002,3.955014619576597,0
2024-08-06,0.041884743077360745,-0.005305829979761936,0.041884743077360745,0.24179457478082517,4.437071325954552,0
2024-08-07,0.042293784047893364,-0.006556604517099329,0.042293784047893364,0.08215365363038978,4.4708192281141494,0
2024-08-08,0.04284086834563591,-0.007398609830794295,0.04284086834563591,0.15822100566783112,4.513740630889838,0
2024-08-09,0.038717085507603645,-0.00464437767109227,0.038717085507603645,0.19296874932319827,4.536303306638045,0
2024-08-10,0.039327684155034445,-0.005184281303188848,0.039327684155034445,0.262219739453588,4.520113019592185,0
2024-08-11,0.040385572346657336,-0.005239742067187858,0.040385572346657336,0.27465995912669094,4.276728913399165,0
2024-08-12,0.04401048946701501,-0.006998475803793175,0.04401048946701501,0.291929572067613,4.428655157051368,0
2024-08-13,0.041397411893529634,-0.0061839463213123474,0.041397411893529634,0.29692891642095354,4.459046911363215,0
2024-08-15,0.035638472167221824,-0.002424779673357108,0.035638472167221824,0.268536487415552,4.482952111138837,0
2024-08-16,0.032549369243004236,-0.005160479217456354,0.032549369243004236,0.19026545863231067,4.565887977489658,0
2024-08-17,0.03065072676033581,-0.0018471714894008617,0.03065072676033581,0.003895154836853702,4.814448207434439,1
2024-08-18,0.03267019608721429,-0.00019259186966341657,0.03267019608721429,0.2878035539007566,4.293678106294372,1
2024-08-19,0.031284444759941764,-0.0038800206853518565,0.031284444759941764,0.3626855445196826,4.498139059919524,1
2024-08-20,0.030557810105399236,-0.00417195681311934,0.030557810105399236,0.40231089963381944,4.555112218478096,1
2024-08-21,0.030719155401588365,-0.004932922650152646,0.030719155401588365,0.3850692493476318,4.714687524412763,1
2024-08-22,0.029370990277816953,-0.0014023936585500218,0.029370990277816953,0.21151348307300977,4.950934036853962,1
2024-09-03,0.030120273730667738,-0.004552274867193777,0.030120273730667738,0.600950982817021,4.755870916960702,1
2024-09-04,0.035337631263063204,-0.007328286981455226,0.035337631263063204,0.5534472913293272,4.500432877521074,0
2024-09-05,0.039427378990589255,-0.01161847931313581,0.039427378990589255,0.20168418056478163,4.113833548267164,0
2024-09-09,0.030304864743854985,-0.0006863048888977874,0.030304864743854985,1.003317396511636,5.262588165528665,0
2024-09-12,0.03236051280953507,-0.003327496621790417,0.03236051280953507,-0.06030485221791119,5.517612253304939,1
